Date,ADA,ARDR,BCH,BCN,BTC,BTG,BTS,DASH,DOGE,EOS,ETC,ETH,HC,ICX,KMD,LSK,LTC,MIOTA,NANO,NEO,QTUM,STRAT,TRX,WAVES,XEM,XLM,XMR,XRP,XVG,ZEC
2018-01-13,23785758720.0,1484316160.0,44260286464.0,2065626880.0,234391027712.0,3694425856.0,1689978112.0,8243347456.0,1472137984.0,8336866304.0,3584652544.0,123162533888.0,798364992.0,3755245056.0,866057792.0,3435950592.0,12964336640.0,10284605440.0,3293230592.0,8069500928.0,3723665152.0,1838122880.0,7146438656.0,1134721152.0,13127349248.0,12198449152.0,6129537024.0,79469690880.0,2311320064.0,2141984768.0
2018-01-14,22866665472.0,,45439467520.0,2067111552.0,241446797312.0,5683573248.0,1637012736.0,8582895104.0,1472361728.0,9718774784.0,4250656256.0,135503314944.0,822388224.0,3752666368.0,943739840.0,3430884608.0,14264978432.0,10937027584.0,3214780672.0,9136462848.0,4046683904.0,1967980032.0,6748004352.0,1184515840.0,13590304768.0,12025890816.0,6556932608.0,78195761152.0,2277917440.0,2141182720.0
2018-01-15,20631762944.0,2388845568.0,42983526400.0,1873477120.0,231334150144.0,4633359872.0,1444525696.0,7868674048.0,1311641984.0,8110090240.0,4230512128.0,132403560448.0,783509952.0,4031391488.0,843936832.0,3223531264.0,12993735680.0,10334389248.0,2937561600.0,11056452608.0,3990876928.0,1941045760.0,5581339136.0,1102429440.0,12488293376.0,11190581248.0,6179111936.0,71909433344.0,2006305152.0,2054193792.0
2018-01-16,20239214592.0,2095139968.0,40708816896.0,1702377984.0,232517451776.0,4465809408.0,1350627328.0,7332157440.0,1112469248.0,7857839104.0,4014070016.0,125388570624.0,732662400.0,3759914496.0,831143872.0,3159258880.0,12752120832.0,9646503936.0,2782123776.0,12217937920.0,3855433216.0,2058276608.0,4999799808.0,1083459200.0,12460324864.0,10736434176.0,6491453440.0,65018384384.0,1685600000.0,1922322048.0
2018-01-17,16181680128.0,1493381632.0,29899466752.0,1173359744.0,192123404288.0,3184024064.0,920628416.0,5931599360.0,768364672.0,6209046528.0,2814880256.0,102973726720.0,493039680.0,2831513088.0,590192960.0,2470671872.0,10417767424.0,7235505664.0,1932481792.0,9407148032.0,2623561984.0,1473571968.0,3537013248.0,835623616.0,8788255744.0,7906717696.0,4978846208.0,45854703616.0,1231518848.0,1564645120.0
2018-01-18,16367620096.0,1657144704.0,29643646976.0,1340156544.0,188241526784.0,3132566272.0,930391872.0,6259569152.0,861977920.0,6230179328.0,2900826368.0,98642083840.0,486452256.0,2851868160.0,616784320.0,2610961152.0,10245467136.0,7559510016.0,2250265088.0,9269195776.0,2661038848.0,1464606336.0,5025294336.0,847572352.0,9234343936.0,8579038720.0,5005990912.0,50577063936.0,1346227840.0,1532652160.0
2018-01-19,16840783872.0,1438535424.0,29442183168.0,1431556224.0,192149700608.0,3239172096.0,909842560.0,6521629184.0,888182848.0,6365037568.0,2979261184.0,99863855104.0,482497408.0,2985449216.0,631793088.0,2676904448.0,10480786432.0,7630761472.0,2374059264.0,9181133824.0,2728689152.0,1422830464.0,5418206720.0,850896768.0,9645215744.0,9005684736.0,4906340864.0,61291933696.0,1654654592.0,1501993216.0
2018-01-20,17022779392.0,1413309952.0,30191484928.0,1383990144.0,195978788864.0,3676256000.0,993079680.0,6677869568.0,897888960.0,6920578560.0,3184766720.0,101450956800.0,573182336.0,3243752960.0,699861888.0,2726761216.0,10658312192.0,7530228736.0,2328745984.0,9132020736.0,2895045632.0,1478353920.0,5335997440.0,888258816.0,9901717504.0,9123476480.0,5743454720.0,60543016960.0,1579206528.0,1636230016.0
2018-01-21,18314647552.0,1416202112.0,34415464448.0,1441136640.0,216740282368.0,3869277184.0,1154531968.0,7267444224.0,952222656.0,9666483200.0,3523314176.0,112225746944.0,617945344.0,3909764864.0,829732672.0,2980193280.0,11585668096.0,8358737408.0,2619970048.0,9764804608.0,3817437696.0,1584852608.0,5579930112.0,964860544.0,11019299840.0,9560803328.0,6008717824.0,61061906432.0,1609418880.0,1735779072.0
2018-01-22,15944720384.0,1099485056.0,30370203648.0,1246573440.0,195644588032.0,3357641216.0,959296128.0,6466925568.0,812486464.0,8385478144.0,3037400320.0,102504308736.0,521265248.0,3427665152.0,713777344.0,2615438336.0,10521856000.0,7738112512.0,2270569984.0,8599479296.0,3188595200.0,1325880960.0,4730395648.0,838233024.0,9700913152.0,8336145408.0,5453550080.0,53909807104.0,1520800896.0,1530979072.0
